id,color,shape,area,perimeter,x,y,width,height,cx,cy,aspect_ratio
1,Unknown,Circle,3509.5,224.0660150051117,37,471,68,68,70,504,1.0
2,Unknown,Rectangle,8556.0,386.0,151,470,125,70,213,504,1.79
3,Unknown,Square,10337.5,409.899494767189,455,454,103,105,506,505,0.98
4,Unknown,Circle,10154.5,379.26197242736816,301,448,115,115,358,505,1.0
5,Unknown,Triangle,1561.0,181.53910386562347,476,334,57,51,504,366,1.12
6,Unknown,Square,10403.5,407.41421353816986,21,310,103,103,71,361,1.0
7,Unknown,Rectangle,6187.5,342.31579649448395,301,307,116,109,358,360,1.06
8,Unknown,Triangle,5552.5,344.1492748260498,168,304,90,116,198,361,0.78
9,Unknown,Square,3471.0,234.82842707633972,41,185,60,60,70,214,1.0
10,Unknown,Rectangle,2276.5,203.41421353816986,487,182,34,70,503,216,0.49
11,Unknown,Circle,3499.5,222.0660148859024,325,182,68,67,358,215,1.01
12,Unknown,Rectangle,8544.0,384.8284270763397,152,181,125,70,214,215,1.79
13,Unknown,Square,2550.0,202.0,333,46,51,52,358,71,0.98
14,Unknown,Triangle,5554.0,345.5634880065918,13,28,117,90,70,86,1.3
15,Unknown,Circle,10156.0,380.19090604782104,157,15,115,114,214,71,1.01
16,Unknown,Triangle,5513.5,342.9777013063431,458,14,90,116,488,71,0.78
